date,demand
3/21/2017,20644.533
3/22/2017,19858.0952
3/23/2017,21294.5456
3/24/2017,21140.9774
3/25/2017,21791.8308
3/26/2017,21915.4915
3/27/2017,22089.3518
3/28/2017,22541.8957
3/29/2017,22779.654
3/30/2017,22938.6358
3/31/2017,22459.6773
4/1/2017,22632.9453
4/2/2017,21769.2021
4/3/2017,25448.3499
4/4/2017,26373.7446
4/5/2017,26410.486
4/6/2017,26143.3996
4/7/2017,25259.9185
4/8/2017,27137.6378
4/9/2017,28037.0127
4/10/2017,28991.1113
4/11/2017,27983.203
4/12/2017,29926.2975
4/13/2017,29901.1101
4/14/2017,28669.7488
4/15/2017,31004.7719
4/16/2017,30455.6957
4/17/2017,30024.5827
4/18/2017,29980.9725
4/19/2017,30394.7823
4/20/2017,29797.778
4/21/2017,28018.5251
4/22/2017,30451.6765
4/23/2017,31525.1417
4/24/2017,32024.1107
4/25/2017,30512.1337
4/26/2017,31203.4243
4/27/2017,31201.6741
4/28/2017,29745.4529
4/29/2017,32163.5825
4/30/2017,32722.1525
5/1/2017,32554.7343
5/2/2017,32651.7475
5/3/2017,32854.6118
5/4/2017,32799.659
5/5/2017,31015.4091
5/6/2017,32673.5488
5/7/2017,32944.8742
5/8/2017,33661.0578
5/9/2017,34534.4903
5/10/2017,35114.5463
5/11/2017,34756.4181
5/12/2017,32924.8066
5/13/2017,35456.313
5/14/2017,35493.3123
5/15/2017,35859.8986
5/16/2017,36517.0515
5/17/2017,36866.0357
5/18/2017,36059.9402
5/19/2017,34267.6325
5/20/2017,37906.5709
5/21/2017,38117.7774
5/22/2017,36814.1628
5/23/2017,37011.5623
5/24/2017,37494.858
5/25/2017,36839.7347
5/26/2017,35118.6362
5/27/2017,39112.9288
5/28/2017,39966.0958
5/29/2017,40195.4062
5/30/2017,40571.3706
5/31/2017,40716.9467
6/1/2017,39484.5825
6/2/2017,36468.0044
6/3/2017,37333.8684
6/4/2017,36053.7578
6/5/2017,36798.8011
6/6/2017,39614.9347
6/7/2017,40589.9127
6/8/2017,40241.475
6/9/2017,38082.9092
6/10/2017,41843.1974
6/11/2017,42874.1462
6/12/2017,42680.8957
6/13/2017,42286.3106
6/14/2017,42803.8272
6/15/2017,42685.0978
6/16/2017,39184.9514
6/17/2017,42633.8952
6/18/2017,42970.7291
6/19/2017,43595.6178
6/20/2017,43864.8366
6/21/2017,43686.3488
6/22/2017,42387.7578
6/23/2017,39139.6437
6/24/2017,41703.2717
6/25/2017,42013.4987
6/26/2017,38231.3175
6/27/2017,39278.6651
6/28/2017,42842.4373
6/29/2017,43826.7456
6/30/2017,41557.0053
7/1/2017,43590.7928
7/2/2017,44334.4488
7/3/2017,44704.872
7/4/2017,45397.5352
7/5/2017,46163.7178
7/6/2017,45079.379
7/7/2017,42245.6397
7/8/2017,44877.0972
7/9/2017,45227.185
7/10/2017,46535.9701
7/11/2017,45520.1027
7/12/2017,44489.9216
7/13/2017,41920.4564
7/14/2017,39160.4438
7/15/2017,43013.461
7/16/2017,44016.2767
7/17/2017,44760.4195
7/18/2017,44972.8533
7/19/2017,44841.9099
7/20/2017,42274.374
7/21/2017,41247.582
7/22/2017,45200.8427
7/23/2017,45506.8381
7/24/2017,45574.0293
7/25/2017,45466.101
7/26/2017,45488.6809
7/27/2017,44755.2198
7/28/2017,42601.6544
7/29/2017,46492.2401
7/30/2017,46930.1103
7/31/2017,46357.4934
8/1/2017,45671.5994
8/2/2017,45142.3272
8/3/2017,44233.1719
8/4/2017,41930.8191
8/5/2017,45054.2857
8/6/2017,45969.3092
8/7/2017,46232.5348
8/8/2017,46075.7754
8/9/2017,46365.8259
8/10/2017,45060.7259
8/11/2017,41910.0117
8/12/2017,45021.8735
8/13/2017,45588.7943
8/14/2017,45819.9169
8/15/2017,45635.7939
8/16/2017,45346.5288
8/17/2017,44224.0788
8/18/2017,42203.4837
8/19/2017,45694.958
8/20/2017,45807.2314
8/21/2017,45707.1235
8/22/2017,45616.4562
8/23/2017,45643.6104
8/24/2017,44581.2221
8/25/2017,41597.1318
8/26/2017,43855.0734
8/27/2017,43404.3352
8/28/2017,43301.1233
8/29/2017,43329.7466
8/30/2017,43828.2335
8/31/2017,42965.7015
9/1/2017,39861.5864
9/2/2017,43100.5359
9/3/2017,43348.3398
9/4/2017,43047.5936
9/5/2017,43207.48
9/6/2017,43073.3814
9/7/2017,42681.7053
9/8/2017,39479.0881
9/9/2017,38622.3011
9/10/2017,41510.3958
9/11/2017,42459.6011
9/12/2017,42532.0369
9/13/2017,41922.9953
9/14/2017,41014.2065
9/15/2017,38115.3354
9/16/2017,40552.8706
9/17/2017,40086.151
9/18/2017,39415.4712
9/19/2017,39130.5086
9/20/2017,38740.0298
9/21/2017,39242.4026
9/22/2017,35492.7539
9/23/2017,37713.0536
9/24/2017,37380.3713
9/25/2017,36980.5286
9/26/2017,36612.2841
9/27/2017,36668.8811
9/28/2017,35495.0205
9/29/2017,32497.1762
9/30/2017,29732.2799
10/1/2017,28353.3833
10/2/2017,33734.6609
10/3/2017,34180.1877
10/4/2017,33697.1041
10/5/2017,32349.7931
10/6/2017,29631.3104
10/7/2017,31815.6331
10/8/2017,32856.3894
10/9/2017,32860.5294
10/10/2017,33033.5827
10/11/2017,33173.8978
10/12/2017,31625.9345
10/13/2017,29414.8422
10/14/2017,31336.6767
10/15/2017,31717.4176
10/16/2017,31572.2743
10/17/2017,31249.7976
10/18/2017,30849.2719
10/19/2017,29940.3067
10/20/2017,28008.7616
10/21/2017,30046.4963
10/22/2017,30190.4875
10/23/2017,30262.7831
10/24/2017,29937.2768
10/25/2017,30090.7805
10/26/2017,29684.5065
10/27/2017,28165.0366
10/28/2017,30336.965
10/29/2017,30589.1297
10/30/2017,30675.2546
10/31/2017,30458.4716
11/1/2017,29902.4259
11/2/2017,29251.5806
11/3/2017,27604.9154
11/4/2017,29521.085
11/5/2017,29643.9553
11/6/2017,29450.9747
11/7/2017,29620.6903
11/8/2017,29233.8578
11/9/2017,26383.8191
11/10/2017,26198.4479
11/11/2017,28463.0707
11/12/2017,28390.3929
11/13/2017,28011.9778
11/14/2017,27928.33
11/15/2017,28066.7068
11/16/2017,27447.3615
11/17/2017,25050.1506
11/18/2017,26999.4182
11/19/2017,25919.1216
11/20/2017,27939.9046
11/21/2017,28195.1118
11/22/2017,27532.3485
11/23/2017,26990.4356
11/24/2017,25272.9136
11/25/2017,27704.6137
11/26/2017,28306.6075
11/27/2017,27322.193
11/28/2017,28641.254
11/29/2017,28472.0231
11/30/2017,28008.7102
12/1/2017,26498.1267
12/2/2017,28644.9238
12/3/2017,29354.1915
12/4/2017,29337.9892
12/5/2017,29049.0884
12/6/2017,27968.6524
12/7/2017,28256.8256
12/8/2017,26642.7254
12/9/2017,29164.1211
12/10/2017,29741.297
12/11/2017,29799.5379
12/12/2017,29869.8045
12/13/2017,29936.9953
12/14/2017,29277.4999
12/15/2017,26977.8205
12/16/2017,28839.4482
12/17/2017,29185.299
12/18/2017,29150.1099
12/19/2017,29322.4589
12/20/2017,29079.6553
12/21/2017,28134.2085
12/22/2017,26052.2499
12/23/2017,28157.7873
12/24/2017,28395.0987
12/25/2017,28167.6031
12/26/2017,27965.0453
12/27/2017,28041.3032
12/28/2017,27985.6923
12/29/2017,26319.1534
12/30/2017,28080.5362
12/31/2017,28261.1152
1/1/2018,28545.2428
1/2/2018,28440.0873
1/3/2018,28690.0588
1/4/2018,28079.2033
1/5/2018,26216.0331
1/6/2018,28248.1596
1/7/2018,28993.6503
1/8/2018,28694.5258
1/9/2018,29156.7072
1/10/2018,29268.5049
1/11/2018,28696.7434
1/12/2018,26513.5973
1/13/2018,28701.5509
1/14/2018,28947.2648
1/15/2018,28949.8903
1/16/2018,29139.0046
1/17/2018,29307.2409
1/18/2018,28359.006
1/19/2018,25960.7952
1/20/2018,28101.8071
1/21/2018,28355.7642
1/22/2018,28835.5237
1/23/2018,28832.2348
1/24/2018,28826.0287
1/25/2018,28262.4635
1/26/2018,26583.7746
1/27/2018,29109.0865
1/28/2018,28292.9275
1/29/2018,28598.7516
1/30/2018,29158.9607
1/31/2018,29312.5976
2/1/2018,28963.1439
2/2/2018,27110.5186
2/3/2018,29125.2836
2/4/2018,29399.3968
2/5/2018,29332.7707
2/6/2018,29326.5416
